               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12437,             0.17133,            0.046814,            0.039355,             0.26192,            0.030912,           0.0077197,             0.10351,             0.13005,            0.044745,              0.0784,              0.0024,              0.0024
                   1,             0.10079,             0.11971,            0.039595,             0.62222,             0.27459,             0.12589,              0.0319,            0.094257,             0.12025,            0.034964,            0.055803,            0.004803,            0.004803
                   2,            0.092088,             0.12425,            0.034552,             0.52445,              0.3059,            0.022171,           0.0057644,             0.10004,             0.18957,            0.034778,            0.033107,            0.007107,            0.007107
                   3,            0.089779,              0.1287,            0.034363,            0.033992,             0.44697,            0.040458,           0.0096727,            0.079894,             0.23385,            0.034521,            0.010312,           0.0093119,           0.0093119
                   4,            0.080094,             0.12578,            0.033682,             0.61019,             0.15514,               0.103,            0.026513,            0.078804,              0.1464,            0.033163,            0.009208,            0.009208,            0.009208
                   5,            0.072681,             0.13045,            0.033097,             0.65038,              0.2799,             0.19074,            0.058193,            0.072848,             0.19017,            0.032361,            0.009208,            0.009208,            0.009208
                   6,            0.073416,             0.12256,            0.032506,             0.49098,             0.49292,             0.30116,             0.10288,            0.068542,             0.15178,            0.031448,             0.00901,             0.00901,             0.00901
                   7,            0.071161,             0.11966,            0.031907,             0.48001,             0.42752,             0.31305,            0.082861,            0.067927,             0.14678,            0.030319,            0.008812,            0.008812,            0.008812
                   8,            0.064971,             0.11837,            0.031222,             0.58404,              0.4347,             0.43725,             0.16308,            0.059154,             0.13017,             0.02963,            0.008614,            0.008614,            0.008614
                   9,            0.066799,              0.1187,            0.030605,             0.55698,             0.55648,              0.4474,             0.15291,            0.059245,             0.12353,            0.029126,            0.008416,            0.008416,            0.008416
                  10,            0.063884,             0.12062,            0.030109,             0.71794,             0.43971,             0.52718,             0.19689,            0.059699,             0.12813,            0.028537,            0.008218,            0.008218,            0.008218
                  11,            0.057904,             0.11923,            0.029401,             0.74183,             0.48909,             0.62161,             0.27133,            0.048455,             0.11723,            0.027872,             0.00802,             0.00802,             0.00802
                  12,            0.056714,             0.11705,             0.02863,             0.76097,             0.46775,             0.61239,             0.26092,            0.052342,             0.12018,            0.027129,            0.007822,            0.007822,            0.007822
                  13,            0.054364,             0.11547,            0.028149,             0.75818,             0.51954,             0.66709,             0.29219,            0.042525,             0.11881,            0.026596,            0.007624,            0.007624,            0.007624
                  14,            0.049614,             0.11517,            0.027298,             0.63205,             0.58702,             0.53291,             0.22242,            0.043991,              0.1219,            0.025932,            0.007426,            0.007426,            0.007426
                  15,            0.049426,             0.11662,            0.026686,             0.68435,             0.62405,             0.64169,             0.24848,             0.04421,             0.11863,            0.025311,            0.007228,            0.007228,            0.007228
                  16,            0.048465,             0.11467,            0.026194,             0.70791,             0.56389,             0.67171,             0.31825,            0.039438,             0.11395,            0.024733,             0.00703,             0.00703,             0.00703
                  17,            0.049139,             0.11408,            0.025711,             0.72778,             0.63794,             0.68185,             0.30264,             0.04195,             0.11384,             0.02415,            0.006832,            0.006832,            0.006832
                  18,            0.048814,             0.11287,            0.025299,             0.70758,             0.58217,             0.65052,             0.28079,            0.048989,             0.11494,            0.023605,            0.006634,            0.006634,            0.006634
                  19,            0.047357,              0.1116,            0.024684,             0.79891,             0.62787,             0.80224,             0.39162,            0.038493,             0.11449,            0.023271,            0.006436,            0.006436,            0.006436
                  20,            0.046521,             0.10863,            0.024334,             0.75233,             0.63232,             0.76584,             0.28449,            0.045387,             0.11407,            0.022862,            0.006238,            0.006238,            0.006238
                  21,            0.043633,              0.1114,             0.02374,              0.8276,             0.64468,             0.80972,             0.39757,            0.034965,             0.10895,            0.022388,             0.00604,             0.00604,             0.00604
                  22,            0.042283,             0.10807,            0.023244,             0.84018,             0.67002,             0.80166,             0.37276,            0.040757,              0.1119,            0.021881,            0.005842,            0.005842,            0.005842
                  23,            0.044526,             0.10941,            0.023039,             0.85898,             0.65122,              0.8093,             0.41095,            0.036024,             0.10873,            0.021361,            0.005644,            0.005644,            0.005644
                  24,            0.041567,             0.11048,            0.022339,             0.91153,             0.66782,             0.82903,             0.42787,            0.033682,             0.10986,             0.02087,            0.005446,            0.005446,            0.005446
                  25,             0.04114,             0.10728,            0.021466,             0.86588,             0.68605,               0.814,             0.40246,             0.03681,             0.11196,            0.020186,            0.005248,            0.005248,            0.005248
                  26,            0.040982,             0.10706,            0.020965,             0.86837,             0.69317,             0.82958,             0.38967,            0.039869,             0.11322,            0.019288,             0.00505,             0.00505,             0.00505
                  27,            0.040288,             0.10599,            0.020238,             0.89329,             0.70901,             0.83627,             0.44821,             0.03485,             0.10794,            0.018906,            0.004852,            0.004852,            0.004852
                  28,            0.039441,              0.1055,            0.019909,             0.89147,             0.69422,             0.82639,             0.41464,            0.037039,             0.10887,            0.018517,            0.004654,            0.004654,            0.004654
                  29,            0.038667,              0.1064,            0.019285,              0.9082,             0.71151,             0.83218,             0.44007,             0.03391,              0.1075,            0.017984,            0.004456,            0.004456,            0.004456
                  30,            0.036694,             0.10571,            0.018874,             0.90012,             0.71415,             0.84063,             0.42472,            0.038775,             0.10896,            0.017484,            0.004258,            0.004258,            0.004258
                  31,            0.037301,             0.10462,            0.018345,             0.92309,             0.70123,             0.83452,             0.45295,            0.032136,             0.10501,            0.017263,             0.00406,             0.00406,             0.00406
                  32,            0.036166,             0.10333,            0.018253,             0.92198,             0.71445,             0.82756,             0.42106,            0.032694,             0.10646,            0.017093,            0.003862,            0.003862,            0.003862
                  33,            0.036249,             0.10293,            0.018001,              0.9194,             0.73628,             0.83976,             0.48048,            0.031531,             0.10518,            0.016863,            0.003664,            0.003664,            0.003664
                  34,            0.035941,             0.10264,            0.017952,             0.86651,             0.76013,             0.83611,             0.44544,            0.033464,             0.10613,            0.016446,            0.003466,            0.003466,            0.003466
                  35,            0.034126,             0.10435,             0.01747,             0.93679,             0.75405,             0.85633,             0.51685,            0.029598,             0.10286,            0.016154,            0.003268,            0.003268,            0.003268
                  36,            0.034829,             0.10202,            0.017162,             0.88324,              0.7809,             0.85524,             0.47918,            0.031654,             0.10378,            0.015917,             0.00307,             0.00307,             0.00307
                  37,            0.033647,             0.10022,             0.01694,             0.90949,             0.78103,             0.86757,             0.51869,            0.031676,             0.10403,            0.015698,            0.002872,            0.002872,            0.002872
                  38,            0.032735,             0.10035,             0.01649,             0.87677,             0.79083,             0.86559,             0.49918,            0.029329,             0.10212,            0.015375,            0.002674,            0.002674,            0.002674
                  39,             0.03264,             0.10137,            0.016215,             0.90792,             0.79923,             0.86855,             0.51906,            0.028843,             0.10178,            0.015093,            0.002476,            0.002476,            0.002476
                  40,            0.032067,             0.10085,            0.016158,             0.86873,               0.793,             0.85496,             0.48302,            0.029849,             0.10143,            0.014849,            0.002278,            0.002278,            0.002278
